iter	Logloss
0	0.4035636949
1	0.2259735437
2	0.1264723369
3	0.07257501739
4	0.04341983223
5	0.02773263373
6	0.0185377427
7	0.01334887389
8	0.009900657706
9	0.007689906865
10	0.006242927439
11	0.005249715373
12	0.004550113942
13	0.003932633009
14	0.003608325423
15	0.00336718228
16	0.003155536362
17	0.002978493902
18	0.002823491377
19	0.002748142254
20	0.002670858143
21	0.002612068759
22	0.002566059723
23	0.002524834984
24	0.002478091149
25	0.002449793165
26	0.002403743742
27	0.002384473507
28	0.002369064616
29	0.002344163832
30	0.002321132787
31	0.002284174297
32	0.002237680193
33	0.002191187726
34	0.002179718769
35	0.00215068084
36	0.002141062568
37	0.002132848143
38	0.00210934619
39	0.002087383748
40	0.002056446329
41	0.00204079153
42	0.002031614813
43	0.002012137407
44	0.0019954187
45	0.001976863457
46	0.001961446199
47	0.00194751149
48	0.001912325416
49	0.001898129357
50	0.001869982263
51	0.001859019854
52	0.001846321031
53	0.001837743711
54	0.001825045334
55	0.001810810556
56	0.001795130846
57	0.001774864185
58	0.001764093142
59	0.001759763391
60	0.001750389844
61	0.001744579854
62	0.001724451599
63	0.001710708098
64	0.001703552049
65	0.001694190171
66	0.001688642354
67	0.001678110946
68	0.001666293411
69	0.001662206923
70	0.001658298203
71	0.001653934983
72	0.001649169735
73	0.001637468158
74	0.001628010296
75	0.001617594329
76	0.001603263389
77	0.001584098017
78	0.001574322319
79	0.001570510924
80	0.001562494104
81	0.001552091736
82	0.001540127584
83	0.001521828943
84	0.001518359126
85	0.001507412062
86	0.001496649268
87	0.001491590268
88	0.001479461942
89	0.001476841138
90	0.001464187459
91	0.00145869012
92	0.0014462192
93	0.001438698853
94	0.001434208583
95	0.001425820253
96	0.001421977564
97	0.0014184196
98	0.00140807372
99	0.001402110913
100	0.001398892641
101	0.001390840751
102	0.001377358904
103	0.001370941839
104	0.001360838731
105	0.001351949788
106	0.001347849124
107	0.001341845629
108	0.001338415626
109	0.001335958602
110	0.001331426794
111	0.001328322656
112	0.001320149433
113	0.001315557462
114	0.001309587365
115	0.001304786665
116	0.001302365787
117	0.001296816075
118	0.001288604148
119	0.001284172382
